id;neighbourhood_cleansed;neighbourhood_group_cleansed;latitude;longitude;property_type;room_type;accommodates;bathrooms;bathrooms_text;bedrooms;beds;amenities;instant_bookable;price
9,33052E+17;Vallcarca i els Penitents;Gràcia;41.41361537673438;2.1396843729878112;Entire rental unit;Entire home/apt;2;1.0;1 bath;1.0;1.0;"[""Electric stove"", ""Fast wifi \u2013 168 Mbps"", ""Long term stays allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Host greets you"", ""Mountain view"", ""Refrigerator"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Hangers"", ""Iron"", ""Private patio or balcony"", ""Body soap"", ""Paid street parking off premises"", ""Sun loungers"", ""Sound system"", ""Luggage dropoff allowed"", ""Babysitter recommendations"", ""Pets allowed"", ""Cleaning available during stay"", ""TV"", ""Microwave"", ""Crib - available upon request"", ""Kitchen"", ""Private entrance"", ""Cleaning products"", ""Coffee"", ""Books and reading material"", ""Cooking basics"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""AC - split type ductless system"", ""Oven"", ""Extra pillows and blankets"", ""Radiant heating"", ""Children\u2019s dinnerware"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Portable fans"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Toaster"", ""Dining table"", ""Dishes and silverware"", ""Window guards"", ""Paid clamp on table seat high chair - available upon request"", ""Wine glasses"", ""Outdoor furniture"", ""Shower gel"", ""Carbon monoxide alarm"", ""Freezer"", ""Beach essentials"", ""Baby bath - available upon request"", ""Dishwasher"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Hot water kettle"", ""Shampoo"", ""Hair dryer"", ""Clothing storage: closet"", ""Elevator""]";f;130.0
1,05508E+18;la Vila de Gràcia;Gràcia;41.3989596;2.1585122;Entire rental unit;Entire home/apt;4;2.0;2 baths;2.0;2.0;"[""Ceiling fan"", ""Dedicated workspace"", ""Blender"", ""Shampoo"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Bathtub"", ""Drying rack for clothing"", ""Books and reading material"", ""Coffee maker: Nespresso"", ""Host greets you"", ""Fire pit"", ""Long term stays allowed"", ""Bluetooth sound system"", ""Hot water"", ""Cleaning available during stay"", ""Baking sheet"", ""Laundromat nearby"", ""Babysitter recommendations"", ""Piano"", ""Heating - split type ductless system"", ""Teka stainless steel induction stove"", ""Outdoor furniture"", ""Iron"", ""Bed linens"", ""Hammock"", ""Outdoor shower"", ""City skyline view"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Wine glasses"", ""First aid kit"", ""Clothing storage: closet"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Cooking basics"", ""Private BBQ grill"", ""Coffee"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Sun loungers"", ""Paid parking garage off premises"", ""Record player"", ""Microwave"", ""Kitchen"", ""Barbecue utensils"", ""Hair dryer"", ""Toaster"", ""Private entrance"", ""Hangers"", ""Body soap"", ""AC - split type ductless system"", ""Outdoor dining area"", ""Free washer \u2013 In unit"", ""Essentials"", ""Shower gel""]";f;350.0
8,08472E+17;el Raval;Ciutat Vella;41.3794589;2.1666223;Room in hotel;Private room;2;;1 private bath;1.0;;"[""Paid parking on premises"", ""TV"", ""Wifi"", ""Smoke alarm"", ""First aid kit"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating"", ""Air conditioning""]";t;500.0
9,42512E+17;l'Antiga Esquerra de l'Eixample;Eixample;41.39293;2.15652;Entire rental unit;Entire home/apt;8;2.0;2 baths;4.0;6.0;"[""Patio or balcony"", ""Dedicated workspace"", ""Coffee maker"", ""Refrigerator"", ""Heating"", ""Iron"", ""Bed linens"", ""Oven"", ""Dryer"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Stove"", ""Hot water kettle"", ""Cooking basics"", ""Room-darkening shades"", ""Washer"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Toaster"", ""Private entrance"", ""Hangers"", ""Air conditioning""]";t;800.0
51832395;la Vila de Gràcia;Gràcia;41.39973;2.15494;Entire serviced apartment;Entire home/apt;6;2.0;2 baths;3.0;4.0;"[""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Heating"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""Iron"", ""Wifi"", ""Dishes and silverware"", ""55 inch HDTV with Netflix"", ""First aid kit"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Cooking basics"", ""Crib"", ""Coffee"", ""Washer"", ""Microwave"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Hair dryer"", ""Hangers"", ""Central air conditioning""]";f;250.0
21521482;la Dreta de l'Eixample;Eixample;41.40044;2.17135;Entire rental unit;Entire home/apt;4;1.0;1 bath;1.0;2.0;"[""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Paid parking off premises"", ""Heating"", ""Long term stays allowed"", ""Air conditioning"", ""Hot water"", ""Pets allowed"", ""TV with standard cable"", ""Iron"", ""Bed linens"", ""Self check-in"", ""Keypad"", ""Private patio or balcony"", ""Oven"", ""Dryer"", ""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Stove"", ""Cooking basics"", ""Crib"", ""Washer"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Private entrance"", ""Hangers"", ""Extra pillows and blankets"", ""Essentials"", ""High chair"", ""Shower gel""]";f;200.0
1,2884E+18;el Raval;Ciutat Vella;41.37888;2.16486;Private room in rental unit;Private room;2;1.0;1 private bath;1.0;1.0;"[""Refrigerator"", ""Room-darkening shades"", ""Hangers"", ""Body soap"", ""Patio or balcony"", ""Kitchen"", ""Cleaning products"", ""Coffee"", ""Cooking basics"", ""Bed linens"", ""Heating"", ""Stove"", ""Oven"", ""Extra pillows and blankets"", ""Air conditioning"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Dining table"", ""Pocket wifi"", ""Dishes and silverware"", ""Wifi"", ""Wine glasses"", ""Shower gel"", ""Freezer"", ""Clothing storage"", ""Lock on bedroom door"", ""Hot water kettle"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Shampoo"", ""Hair dryer"", ""Toaster""]";f;62.0
9985147;Provençals del Poblenou;Sant Martí;41.4088260032558;2.2016841463821897;Private room in condo;Private room;4;0.5;Shared half-bath;2.0;4.0;"[""Bed linens"", ""Extra pillows and blankets"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Pets allowed"", ""TV"", ""Clothing storage"", ""Air conditioning"", ""Beach essentials"", ""Lock on bedroom door"", ""Kitchen"", ""Iron"", ""Movie theater"", ""Bikes"", ""Wifi"", ""Washer"", ""Elevator""]";f;80.0
1,26804E+18;la Sagrera;Sant Andreu;41.42197550714758;2.1892230039265552;Entire rental unit;Entire home/apt;4;1.0;1 bath;2.0;3.0;"[""Patio or balcony"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Host greets you"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Hot water"", ""50 inch HDTV with Amazon Prime Video, Netflix, Chromecast"", ""Laundromat nearby"", ""Outdoor furniture"", ""Iron"", ""Bed linens"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Paid washer"", ""Wine glasses"", ""First aid kit"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Central heating"", ""Hot water kettle"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Room-darkening shades"", ""Radiant heating"", ""Essentials"", ""Noise decibel monitors on property"", ""Kitchen"", ""Bidet"", ""Hair dryer"", ""Microwave"", ""Toaster"", ""Hangers"", ""Body soap"", ""AC - split type ductless system"", ""Outdoor dining area"", ""Elevator"", ""Children\u2019s dinnerware"", ""Shower gel""]";f;150.0
5,89612E+17;la Vila de Gràcia;Gràcia;41.40205606806301;2.161516595878185;Entire rental unit;Entire home/apt;2;1.0;1 bath;1.0;1.0;"[""Patio or balcony"", ""Garden view"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Long term stays allowed"", ""Pets allowed"", ""Iron"", ""Bed linens"", ""Oven"", ""Dishwasher"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""First aid kit"", ""Stove"", ""Hot water kettle"", ""Cooking basics"", ""Outdoor pool - available seasonally, rooftop"", ""Washer"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""AC - split type ductless system"", ""Essentials""]";t;518.0
1,16366E+18;Sant Pere, Santa Caterina i la Ribera;Ciutat Vella;41.3885955;2.1801379;Entire rental unit;Entire home/apt;2;1.0;1 bath;1.0;1.0;"[""Kitchen"", ""Air conditioning"", ""Washer"", ""Dedicated workspace""]";f;50.0
1,06227E+18;la Bordeta;Sants-Montjuïc;41.37026651202864;2.1345021306884604;Entire rental unit;Entire home/apt;4;;1 bath;2.0;;"[""Wifi"", ""Washer"", ""BBQ grill"", ""First aid kit"", ""Kitchen"", ""Outdoor dining area"", ""Air conditioning""]";f;50.0
8,42699E+17;la Dreta de l'Eixample;Eixample;41.3963602;2.1761309;Entire rental unit;Entire home/apt;4;1.0;1 bath;2.0;4.0;"[""Patio or balcony"", ""Refrigerator"", ""Heating"", ""Hot water"", ""Pets allowed"", ""Iron"", ""Bed linens"", ""Self check-in"", ""Keypad"", ""Oven"", ""Dryer"", ""Dishwasher"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Cooking basics"", ""Crib"", ""Washer"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Air conditioning"", ""Essentials""]";t;65.0
6,75408E+17;el Poblenou;Sant Martí;41.39922;2.19655;Entire rental unit;Entire home/apt;4;1.0;1 bath;3.0;2.0;"[""Dedicated workspace"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Host greets you"", ""Drying rack for clothing"", ""Smoking allowed"", ""Long term stays allowed"", ""Hot water"", ""Fast wifi \u2013 673 Mbps"", ""Laundromat nearby"", ""Heating - split type ductless system"", ""Outdoor furniture"", ""Iron"", ""Bed linens"", ""Changing table"", ""Portable fans"", ""City skyline view"", ""Private patio or balcony"", ""Single level home"", ""Oven"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Wine glasses"", ""Window guards"", ""Courtyard view"", ""Cooking basics"", ""55 inch HDTV"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Freezer"", ""Cleaning products"", ""Room-darkening shades"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Stainless steel induction stove"", ""Dining table"", ""Paid parking garage off premises"", ""Private backyard \u2013 Fully fenced"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""AC - split type ductless system"", ""Extra pillows and blankets"", ""Essentials"", ""Outdoor dining area""]";f;85.0
1,34623E+18;Sants;Sants-Montjuïc;41.3737436;2.1321296;Private room in rental unit;Private room;2;1.0;1 shared bath;1.0;1.0;"[""Single oven"", ""Housekeeping available every day"", ""Host greets you"", ""Paid parking on premises"", ""Refrigerator"", ""Iron"", ""Body soap"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Laundromat nearby"", ""Microwave"", ""Kitchen"", ""Portable heater"", ""Cleaning products"", ""Outdoor shower"", ""Cooking basics"", ""Shared backyard"", ""Bed linens"", ""First aid kit"", ""Drying rack for clothing"", ""Portable fans"", ""Dining table"", ""Dishes and silverware"", ""Wifi"", ""Wine glasses"", ""Freezer"", ""Bidet"", ""Blender"", ""Clothing storage"", ""Gas stove"", ""Lock on bedroom door"", ""Hot water kettle"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Smoking allowed"", ""Bikes""]";f;55.0
8,31885E+17;el Raval;Ciutat Vella;41.3788575337512;2.1711081042235643;Private room in rental unit;Private room;1;1.0;1 shared bath;1.0;1.0;"[""Electric stove"", ""Coffee maker"", ""Host greets you"", ""Refrigerator"", ""Body soap"", ""Clothing storage: wardrobe and dresser"", ""Kitchen"", ""Cleaning products"", ""Bed linens"", ""Oven"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Portable fans"", ""Dining table"", ""Dishes and silverware"", ""Wifi"", ""Freezer"", ""Shower gel"", ""Essentials"", ""Hot water"", ""Smoking allowed"", ""Washer""]";f;20.0
9,02081E+17;el Raval;Ciutat Vella;41.379676834292205;2.165638608140945;Private room in rental unit;Private room;2;1.0;1 bath;1.0;1.0;"[""Bed linens"", ""Heating"", ""Air conditioning"", ""Lock on bedroom door"", ""Kitchen"", ""Essentials"", ""Refrigerator"", ""Hot water"", ""Cleaning products"", ""Body soap"", ""Dishes and silverware"", ""Wifi"", ""Shampoo"", ""Cooking basics"", ""Hair dryer"", ""Shower gel""]";f;300.0
48348783;la Dreta de l'Eixample;Eixample;41.39029;2.17175;Room in boutique hotel;Private room;2;1.0;1 private bath;1.0;0.0;"[""Patio or balcony"", ""Shampoo"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""Pets allowed"", ""Iron"", ""Bed linens"", ""Self check-in"", ""Keypad"", ""Fast wifi \u2013 229 Mbps"", ""TV"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Noise decibel monitors on property"", ""Elevator"", ""Hair dryer"", ""Hangers"", ""Air conditioning"", ""Essentials""]";t;168.0
1,31805E+18;el Raval;Ciutat Vella;41.38176;2.17193;Private room in rental unit;Private room;2;2.0;2 baths;1.0;1.0;"[""Dedicated workspace"", ""TV"", ""Wifi"", ""Washer"", ""Pets allowed"", ""Iron"", ""Kitchen"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Heating"", ""Cooking basics"", ""Air conditioning""]";t;50.0
1,28901E+18;el Raval;Ciutat Vella;41.38362392321534;2.16612389447347;Private room in rental unit;Private room;2;1.0;1 shared bath;1.0;1.0;"[""Dedicated workspace"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Lock on bedroom door"", ""Heating"", ""Hot water"", ""Iron"", ""Bed linens"", ""Oven"", ""Wifi"", ""Dishes and silverware"", ""Wine glasses"", ""Stove"", ""Hot water kettle"", ""Cooking basics"", ""Clothing storage"", ""Freezer"", ""Dining table"", ""Room-darkening shades"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Air conditioning"", ""Essentials"", ""Shower gel""]";t;60.0
6,4102E+17;Diagonal Mar i el Front Marítim del Poblenou;Sant Martí;41.40498;2.213;Camper/RV;Entire home/apt;3;0.5;Half-bath;1.0;2.0;"[""Stainless steel gas stove"", ""Host greets you"", ""Dedicated workspace"", ""Beach access \u2013 Beachfront"", ""Dishes and silverware"", ""Free street parking"", ""Essentials"", ""Long term stays allowed"", ""Lake view"", ""Outdoor kitchen"", ""Refrigerator"", ""Board games"", ""Coffee maker"", ""Mountain view"", ""Outdoor shower"", ""Bed linens"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Outdoor dining area"", ""Cooking basics"", ""Shared patio or balcony"", ""First aid kit"", ""Central heating"", ""Resort access"", ""Beach view"", ""Ocean view"", ""Fire extinguisher"", ""BBQ grill"", ""Sea view"", ""Shared backyard \u2013 Not fully fenced"", ""Outdoor furniture"", ""Kitchen""]";t;87.0
7,05462E+17;el Poblenou;Sant Martí;41.40122;2.19949;Entire serviced apartment;Entire home/apt;2;1.0;1 bath;1.0;1.0;"[""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Heating"", ""Hot water"", ""Iron"", ""Bed linens"", ""Private patio or balcony"", ""Oven"", ""TV"", ""Wifi"", ""Dishes and silverware"", ""Wine glasses"", ""Clothing storage: closet"", ""Stove"", ""Hot water kettle"", ""Cooking basics"", ""Freezer"", ""Cleaning products"", ""Washer"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""Hangers"", ""Air conditioning"", ""Essentials"", ""Shower gel""]";t;120.0
